  2.97e-02  6.70e-01  2.77e-01  2.65e+00  4.71e-01  1.96e+00  1.35e+01  2.97e+01  3.26e+00  1.82e+01  1.78e+00  1.23e+01  1.01e+03  2.05e+02  1.43e+01  0.00e+00  5.07e+00  1.50e+01  1.35e+00  9.16e+00  4.75e+01  2.57e+01  8.92e+00  7.67e+01  3.34e+00
  4.29e-02  3.36e-01  4.80e-01  2.05e-01  4.03e-01  2.39e+00  1.47e+00  2.46e+00  5.04e+00  9.31e-01  8.49e+00  2.80e+01  6.05e+00  4.26e+00  2.79e+01  5.07e+00  0.00e+00  9.30e-01  6.66e+00  3.56e+01  5.32e+00  1.90e+00  2.46e+01  5.44e+00  9.46e+00
  2.87e-02  1.94e-01  1.68e-01  8.01e-01  1.31e-01  4.27e-01  1.77e+00  3.54e+00  4.37e-01  3.76e+00  2.79e-01  9.68e-01  2.41e+01  2.25e+01  1.04e+00  1.50e+01  9.30e-01  0.00e+00  6.25e-01  2.02e+00  1.73e+01  5.15e+01  1.31e+00  3.27e+01  8.19e-01
  1.49e-02  1.04e-01  7.97e-02  8.70e-02  1.55e-01  4.34e-01  2.49e-01  4.02e-01  6.97e-01  2.27e-01  9.30e-01  3.32e+00  1.14e+00  5.37e-01  3.01e+00  1.35e+00  6.66e+00  6.25e-01  0.00e+00  2.56e+01  1.96e+00  8.34e-01  9.90e+00  1.90e+00  4.82e+01
  7.55e-02  4.47e-01  5.62e-01  4.63e-01  5.37e-01  3.79e+00  2.26e+00  3.74e+00  4.53e+00  8.75e-01  4.55e+00  1.78e+01  8.53e+00  3.76e+00  2.40e+01  9.16e+00  3.56e+01  2.02e+00  2.56e+01  0.00e+00  8.79e+00  3.15e+00  1.97e+02  9.57e+00  5.82e+01
  4.85e-02  9.51e-01  4.09e-01  1.66e+00  3.72e-01  2.09e+00  8.22e+00  1.51e+01  2.10e+00  5.15e+00  8.35e-01  5.95e+00  4.52e+01  2.50e+01  7.05e+00  4.75e+01  5.32e+00  1.73e+01  1.96e+00  8.79e+00  0.00e+00  1.17e+04  7.39e+00  6.88e+03  3.53e+00
  2.48e-02  4.96e-01  2.15e-01  8.72e-01  9.57e-02  7.84e-01  5.82e+00  6.96e+00  8.61e-01  4.18e+00  3.22e-01  2.21e+00  2.31e+01  1.56e+01  3.24e+00  2.57e+01  1.90e+00  5.15e+01  8.34e-01  3.15e+00  1.17e+04  0.00e+00  3.50e+00  5.65e+02  2.32e+00
  2.10e-02  1.69e-01  3.05e-01  2.56e-01  4.41e-01  2.73e+00  1.06e+00  2.50e+00  3.43e+00  6.44e-01  5.49e+00  1.58e+01  7.20e+00  3.03e+00  2.06e+01  8.92e+00  2.46e+01  1.31e+00  9.90e+00  1.97e+02  7.39e+00  3.50e+00  0.00e+00  1.29e+01  5.31e+01
  2.15e-02  7.61e-01  2.59e-01  1.78e+00  3.28e-01  1.84e+00  9.69e+00  2.06e+01  1.81e+00  8.11e+00  8.84e-01  6.79e+00  6.72e+01  2.84e+01  7.23e+00  7.67e+01  5.44e+00  3.27e+01  1.90e+00  9.57e+00  6.88e+03  5.65e+02  1.29e+01  0.00e+00  5.68e+00
  2.22e-02  1.97e-01  2.61e-01  1.46e-01  2.11e-01  1.33e+00  8.23e-01  1.13e+00  2.13e+00  3.66e-01  1.55e+00  7.12e+00  3.08e+00  2.00e+00  9.61e+00  3.34e+00  9.46e+00  8.19e-01  4.82e+01  5.82e+01  3.53e+00  2.32e+00  5.31e+01  5.68e+00  0.00e+00
